ASV	Color
ASV1	#d08e31
ASV10	#f66ca6
ASV12	#a49f31
ASV13	#e88131
ASV14	#9ba231
ASV15	#38a7cd
ASV16	#c79231
ASV17	#35aca4
ASV18	#dc6ff4
ASV19	#31b252
ASV2	#34ae8e
ASV20	#36aab6
ASV21	#3aa4e6
ASV22	#77aa31
ASV23	#63ae31
ASV24	#36abb0
ASV25	#9a8ff4
ASV26	#33b07a
ASV27	#35ad9d
ASV28	#f56ab3
ASV29	#91a531
ASV3	#ad9c31
ASV30	#32b16a
ASV31	#37a9bd
ASV32	#ed61f4
ASV33	#f565cc
ASV34	#36acaa
ASV36	#39a6d8
ASV37	#41b231
ASV38	#f562d9
ASV4	#49a0f4
ASV40	#86a731
ASV41	#f7745f
ASV42	#f45ee9
ASV43	#6e9af4
ASV44	#33af85
ASV47	#f67088
ASV48	#f77637
ASV49	#ac88f4
ASV5	#8795f4
ASV50	#f66e99
ASV53	#38a8c5
ASV55	#bc81f4
ASV56	#b59931
ASV57	#be9631
ASV6	#34ad96
ASV68	#cc79f4
ASV7	#f77276
ASV8	#db8831
ASV9	#f568bf
